unique_number,id_no,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,region_en,iso_code,udnp_code,transboundary
1196,1024,Late Baroque Towns of the Val di Noto (South-Eastern Sicily),"<p>The eight towns in south-eastern Sicily: Caltagirone, Militello Val di Catania, Catania, Modica, Noto, Palazzolo, Ragusa and Scicli, were all rebuilt after 1693 on or beside towns existing at the time of the earthquake which took place in that year. They represent a considerable collective undertaking, successfully carried out at a high level of architectural and artistic achievement. Keeping within the late Baroque style of the day, they also depict distinctive innovations in town planning and urban building.</p>","<p><em>Criterion (i):</em> This group of towns in south-eastern Sicily provides outstanding testimony to the exuberant genius of late Baroque art and architecture.</p>
<p><em>Criterion (ii):</em> The towns of the Val di Noto represent the culmination and final flowering of Baroque art in Europe.</p>
<p><em>Criterion (iv):</em> The exceptional quality of the late Baroque art and architecture in the Val di Noto lies in its geographical and chronological homogeneity, as well as its quantity, the result of the 1693 earthquake in this region.</p>
<p><em>Criterion (v):</em> The eight towns of south-eastern Sicily that make up this nomination, which are characteristic of the settlement pattern and urban form of this region, are permanently at risk from earthquakes and eruptions of Mount Etna.</p>",2002,,,15.06891667,36.89319444,112.79,(i)(ii)(iv)(v),Cultural,Italy,Europe and North America,it,ita,0
1338,1158,Etruscan Necropolises of Cerveteri and Tarquinia,"<p>These two large Etruscan cemeteries reflect different types of burial practices from the 9th to the 1st century BC, and bear witness to the achievements of Etruscan culture. Which over nine centuries developed the earliest urban civilization in the northern Mediterranean. Some of the tombs are monumental, cut in rock and topped by impressive tumuli (burial mounds). Many feature carvings on their walls, others have wall paintings of outstanding quality. The necropolis near Cerveteri, known as Banditaccia, contains thousands of tombs organized in a city-like plan, with streets, small squares and neighbourhoods. The site contains very different types of tombs: trenches cut in rock; tumuli; and some, also carved in rock, in the shape of huts or houses with a wealth of structural details. These provide the only surviving evidence of Etruscan residential architecture. The necropolis of Tarquinia, also known as Monterozzi, contains 6,000 graves cut in the rock. It is famous for its 200 painted tombs, the earliest of which date from the 7th century BC.</p>","<p><em>Criterion (i):</em> The necropolises of Tarquinia and Cerveteri are masterpieces of creative genius: Tarquinia's large-scale wall paintings are exceptional both for their formal qualities and for their content, which reveal aspects of life, death, and religious beliefs of the ancient Etruscans. Cerveteri shows in a funerary context the same town planning and architectural schemes used in an ancient city.</p>
<p><em>Criterion (iii):</em> The two necropolises constitute a unique and exceptional testimony to the ancient Etruscan civilisation, the only urban type of civilisation in pre-Roman Italy. Moreover, the depiction of daily life in the frescoed tombs, many of which are replicas of Etruscan houses, is a unique testimony to this vanished culture.</p>
<p><em>Criterion (iv):</em> Many of the tombs of Tarquinia and Cerveteri represent types of buildings which no longer exist in any other form. The cemeteries, replicas of Etruscan town planning schemes, are some of the earliest existing in the region.</p>",2004,,,12.10188889,42.00683333,326.93,(i)(iii)(iv),Cultural,Italy,Europe and North America,it,ita,0
1377,1200,Syracuse and the Rocky Necropolis of Pantalica,"<p>The site consists of two separate elements, containing outstanding vestiges dating back to Greek and Roman times: The Necropolis of Pantalica contains over 5,000 tombs cut into the rock near open stone quarries, most of them dating from the 13th to 7th centuries BC. Vestiges of the Byzantine era also remain in the area, notably the foundations of the Anaktoron (Prince’s Palace). The other part of the property, Ancient Syracuse, includes the nucleus of the city’s foundation as Ortygia by Greeks from Corinth in the 8th century BC. The site of the city, which Cicero described as ‘the greatest Greek city and the most beautiful of all’, retains vestiges such as the Temple of Athena (5th century BC, later transformed to serve as a cathedral), a Greek theatre, a Roman amphitheatre, a fort and more. Many remains bear witness to the troubled history of Sicily, from the Byzantines to the Bourbons, interspersed with the Arabo-Muslims, the Normans, Frederick II of the Hohenstaufen dynasty (1197–1250), the Aragons and the Kingdom of the Two Sicilies. Historic Syracuse offers a unique testimony to the development of Mediterranean civilization over three millennia.</p>","<p><em>Criterion (ii): </em>The sites and monuments which form the Syracuse/Pantalica ensemble constitute a unique accumulation, through the ages and in the same space, of remarkable testimonies to Mediterranean cultures.</p>
<p><em>Criterion (iii): </em>The Syracuse/Pantalica ensemble offers, through its remarkable cultural diversity, an exceptional testimony to the development of civilisation over some three millennia.</p>
<p><em>Criterion (iv): </em>The group of monuments and archeological sites situated in Syracuse (between the nucleus of Ortygia and the vestiges located throughout the urban area) is the finest example of outstanding architectural creation spanning several cultural aspects (Greek, Roman and Baroque).</p>
<p><em>Criterion (vi): </em>Ancient Syracuse was directly linked to events, ideas and literary works of outstanding universal significance.</p>",2005,,,15.29306,37.05944,898.46,(ii)(iii)(iv)(vi),Cultural,Italy,Europe and North America,it,ita,0
1971,1390,Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,"<p>This landscape covers five distinct wine-growing areas with outstanding landscapes and the Castle of Cavour, an emblematic name both in the development of vineyards and in Italian history. It is located in the southern part of Piedmont, between the Po River and the Ligurian Apennines, and encompasses the whole range of technical and economic processes relating to the winegrowing and winemaking that has characterized the region for centuries. Vine pollen has been found in the area dating from the 5th century BC, when Piedmont was a place of contact and trade between the Etruscans and the Celts; Etruscan and Celtic words, particularly wine-related ones, are still found in the local dialect. During the Roman Empire, Pliny the Elder mentions the Piedmont region as being one of the most favourable for growing vines in ancient Italy; Strabo mentions its barrels.</p>",,2014,,,7.963611111,44.60861111,10789,(iii)(v),Cultural,Italy,Europe and North America,it,ita,0
165,148,Old City of Jerusalem and its Walls,"<p>As a holy city for Judaism, Christianity and Islam, Jerusalem has always been of great symbolic importance. Among its 220 historic monuments, the Dome of the Rock stands out: built in the 7th century, it is decorated with beautiful geometric and floral motifs. It is recognized by all three religions as the site of Abraham's sacrifice. The Wailing Wall delimits the quarters of the different religious communities, while the Resurrection rotunda in the Church of the Holy Sepulchre houses Christ's tomb.</p>",,1981,,Y 1982,35.21666667,31.78333333,0,(ii)(iii)(vi),Cultural,Jerusalem (Site proposed by Jordan),Arab States,,,0
370,326,Petra,"<p>Inhabited since prehistoric times, this Nabataean caravan-city, situated between the Red Sea and the Dead Sea, was an important crossroads between Arabia, Egypt and Syria-Phoenicia. Petra is half-built, half-carved into the rock, and is surrounded by mountains riddled with passages and gorges. It is one of the world's most famous archaeological sites, where ancient Eastern traditions blend with Hellenistic architecture.</p>",,1985,,,35.44333,30.33056,26171,(i)(iii)(iv),Cultural,Jordan,Arab States,jo,jor,0
1271,1093,Um er-Rasas (Kastrom Mefa'a),"<p>Most of this archaeological site, which started as a Roman military camp and grew to become a town from the 5th century, has not been excavated. It contains remains from the Roman, Byzantine and Early Muslim periods (end of 3rd to 9th centuries AD) and a fortified Roman military camp. The site also has 16 churches, some with well-preserved mosaic floors. Particularly noteworthy is the mosaic floor of the Church of Saint Stephen with its representation of towns in the region. Two square towers are probably the only remains of the practice, well known in this part of the world, of the stylites (ascetic monks who spent time in isolation atop a column or tower). Um er-Rasas is surrounded by, and dotted with, remains of ancient agricultural cultivation in an arid area.</p>","<p><em>Criterion (i):</em> Um er-Rasas is a masterpiece of human creative genius given the artistic and technical qualities of the mosaic floor of St Stephen's church.</p>
<p><em>Criterion (iv):</em> Um er-Rasas presents a unique and complete (therefore outstanding) example of stylite towers.</p>
<p><em>Criterion (vi):</em> Umm er-Rasas is strongly associated with monasticism and with the spread of monotheism in the whole region, including Islam.</p>",2004,,,35.92056,31.50167,23.928,(i)(iv)(vi),Cultural,Jordan,Arab States,jo,jor,0
2019,1446,Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),"<p>Situated on the eastern bank of the River Jordan, nine kilometres north of the Dead Sea, the archaeological site consists of two distinct areas: Tell Al-Kharrar, also known as Jabal Mar-Elias (Elijah’s Hill) and the area of the churches of Saint John the Baptist near the river. Situated in a pristine natural environment the site is believed to be the location where Jesus of Nazareth was baptized by John the Baptist. It features Roman and Byzantine remains including churches and chapels, a monastery, caves that have been used by hermits and pools in which baptisms were celebrated, testifying to the religious character of the place. The site is a Christian place of pilgrimage.</p>",,2015,,,35.55277778,31.83722222,294.155,(iii)(vi),Cultural,Jordan,Arab States,jo,jor,0
1758,1377,Wadi Rum Protected Area,"<p>The 74,000-hectare property, inscribed as a mixed natural and cultural site, is situated in southern Jordan, near the border with Saudi Arabia. It features a varied desert landscape consisting of a range of narrow gorges, natural arches, towering cliffs, ramps, massive landslides and caverns. Petroglyphs, inscriptions and archaeological remains in the site testify to 12,000 years of human occupation and interaction with the natural environment. The combination of 25,000 rock carvings with 20,000 inscriptions trace the evolution of human thought and the early development of the alphabet. The site illustrates the evolution of pastoral, agricultural and urban activity in the region.</p>",,2011,,,35.43388889,29.63972222,74179.7,(iii)(v)(vii),Mixed,Jordan,Arab States,jo,jor,0
330,294,Baalbek,"<p>This Phoenician city, where a triad of deities was worshipped, was known as Heliopolis during the Hellenistic period. It retained its religious function during Roman times, when the sanctuary of the Heliopolitan Jupiter attracted thousands of pilgrims. Baalbek, with its colossal structures, is one of the finest examples of Imperial Roman architecture at its apogee.</p>",,1984,,,36.20494,34.00707,0,(i)(iv),Cultural,Lebanon,Arab States,lb,lbn,0
331,295,Byblos,"<p>The ruins of many successive civilizations are found at Byblos, one of the oldest Phoenician cities. Inhabited since Neolithic times, it has been closely linked to the legends and history of the Mediterranean region for thousands of years. Byblos is also directly associated with the history and diffusion of the Phoenician alphabet.</p>",,1984,,,35.6475,34.11917,0,(iii)(iv)(vi),Cultural,Lebanon,Arab States,lb,lbn,0
335,299,Tyre,"<p>According to legend, purple dye was invented in Tyre. This great Phoenician city ruled the seas and founded prosperous colonies such as Cadiz and Carthage, but its historical role declined at the end of the Crusades. There are important archaeological remains, mainly from Roman times.</p>",,1984,,,35.19444,33.27194,153.8,(iii)(vi),Cultural,Lebanon,Arab States,lb,lbn,0
1001,850,Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),"<p>The Qadisha valley is one of the most important early Christian monastic settlements in the world. Its monasteries, many of which are of a great age, stand in dramatic positions in a rugged landscape. Nearby are the remains of the great forest of cedars of Lebanon, highly prized in antiquity for the construction of great religious buildings.</p>",<p>Criterion iii: The Qadisha Valley has been the site of monastic communities continuously since the earliest years of Christianity. The trees in the Cedar Forest are survivors of a sacred forest and of one of the most highly prized building materials of the ancient world. Criterion iv: The monasteries of the Qadisha Valley are the most significant surviving examples of this fundamental demonstration of Christian faith.</p>,1998,,,36.04889,34.24333,0,(iii)(iv),Cultural,Lebanon,Arab States,lb,lbn,0
203,183,Archaeological Site of Leptis Magna,"<p>Leptis Magna was enlarged and embellished by Septimius Severus, who was born there and later became emperor. It was one of the most beautiful cities of the Roman Empire, with its imposing public monuments, harbour, market-place, storehouses, shops and residential districts.</p>",,1982,,,14.29306,32.63833,0,(i)(ii)(iii),Cultural,Libya,Arab States,ly,lby,0
204,184,Archaeological Site of Sabratha,"<p>A Phoenician trading-post that served as an outlet for the products of the African hinterland, Sabratha was part of the short-lived Numidian Kingdom of Massinissa before being Romanized and rebuilt in the 2nd and 3rd centuries A.D.</p>",,1982,,,12.485,32.80528,0,(iii),Cultural,Libya,Arab States,ly,lby,0
211,190,Archaeological Site of Cyrene,"<p>A colony of the Greeks of Thera, Cyrene was one of the principal cities in the Hellenic world. It was Romanized and remained a great capital until the earthquake of 365. A thousand years of history is written into its ruins, which have been famous since the 18th century.</p>",,1982,,,21.85833,32.825,0,(ii)(iii)(vi),Cultural,Libya,Arab States,ly,lby,0
142,130,?al Saflieni Hypogeum,"<p>The Hypogeum is an enormous subterranean structure excavated c. 2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. Perhaps originally a sanctuary, it became a necropolis in prehistoric times.</p>",,1980,,,14.50739,35.87134,0.13,(iii),Cultural,Malta,Europe and North America,mt,mlt,0
143,131,City of Valletta,"<p>The capital of Malta is inextricably linked to the history of the military and charitable Order of St John of Jerusalem. It was ruled successively by the Phoenicians, Greeks, Carthaginians, Romans, Byzantines, Arabs and the Order of the Knights of St John. Valletta’s 320 monuments, all within an area of 55 ha, make it one of the most concentrated historic areas in the world.</p>",,1980,,,14.51444,35.90056,55.5,(i)(vi),Cultural,Malta,Europe and North America,mt,mlt,0
1625,836,Archaeological Site of Volubilis,"<p>The Mauritanian capital, founded in the 3rd century B.C., became an important outpost of the Roman Empire and was graced with many fine buildings. Extensive remains of these survive in the archaeological site, located in a fertile agricultural area. Volubilis was later briefly to become the capital of Idris I, founder of the Idrisid dynasty, who is buried at nearby Moulay Idris.</p>","<p>The Committee decided to inscribe the Archaeological Site of Volubilis on the basis of criteria (ii), (iii), (iv) and (vi), considering that this site is an exceptionally well preserved example of a large Roman colonial town on the fringes of the Empire.</p>",1997,,,-5.55694,34.07389,42,(ii)(iii)(iv)(vi),Cultural,Morocco,Arab States,ma,mar,0
1180,1010,Land of Frankincense,"<p>The frankincense trees of Wadi Dawkah and the remains of the caravan oasis of Shisr/Wubar and the affiliated ports of Khor Rori and Al-Baleed vividly illustrate the trade in frankincense that flourished in this region for many centuries, as one of the most important trading activities of the ancient and medieval world.</p>","<p>Criterion iii The group of archaeological sites in Oman represent the production and distribution of frankincense, one of the most important luxury items of trade in the Old World in antiquity. Criterion iv The Oasis of Shishr and the entrepots of Khor Rori and Al-Balid are outstanding examples of medieval fortified settlements in the Persian Gulf region.</p>",2000,,,53.64759,18.25333,849.88,(iii)(iv),Cultural,Oman,Arab States,om,omn,0
1384,1207,<i>Aflaj</i> Irrigation Systems of Oman,"<p>The property includes five <em>aflaj</em> irrigation systems and is representative of some 3,000 such systems still in use in Oman. The origins of this system of irrigation may date back to AD 500, but archaeological evidence suggests that irrigation systems existed in this extremely arid area as early as 2500 BC. Using gravity, water is channelled from underground sources or springs to support agriculture and domestic use. The fair and effective management and sharing of water in villages and towns is still underpinned by mutual dependence and communal values and guided by astronomical observations. Numerous watchtowers built to defend the water systems form part of the site reflecting the historic dependence of communities on the <em>aflaj</em> system. Threatened by falling level of the underground water table, the <em>aflaj</em> represent an exceptionally well-preserved form of land use.</p>",,2006,,,57.53605556,22.99888889,1455.949,(v),Cultural,Oman,Arab States,om,omn,0
151,138,Archaeological Ruins at Moenjodaro,"<p>The ruins of the huge city of Moenjodaro &ndash; built entirely of unbaked brick in the 3rd millennium B.C. &ndash; lie in the Indus valley. The acropolis, set on high embankments, the ramparts, and the lower town, which is laid out according to strict rules, provide evidence of an early system of town planning.</p>",,1980,,,68.13888889,27.32916667,240,(ii)(iii),Cultural,Pakistan,Asia and the Pacific,pk,pak,0
153,139,Taxila,"<p>From the ancient Neolithic tumulus of Saraikala to the ramparts of Sirkap (2nd century B.C.) and the city of Sirsukh (1st century A.D.), Taxila illustrates the different stages in the development of a city on the Indus that was alternately influenced by Persia, Greece and Central Asia and which, from the 5th century B.C. to the 2nd century A.D., was an important Buddhist centre of learning.</p>",,1980,,,72.8875,33.77916667,0,(iii)(vi),Cultural,Pakistan,Asia and the Pacific,pk,pak,0
1922,1433,"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem","<p>The inscribed property is situated 10&nbsp;km south of Jerusalem on the site identified by Christian tradition as the birthplace of Jesus since the 2nd century. A church was first completed there in ad&nbsp;339 and the edifice that replaced it after a fire in the 6th century retains elaborate floor mosaics from the original building. The site also includes Latin, Greek Orthodox, Franciscan and Armenian convents and churches, as well as bell towers, terraced gardens and a pilgrimage route.</p>",,2012,,,35.2075,31.70435278,2.98,(iv)(vi),Cultural,Palestine,Arab States,ps,pal,0
2012,1492,"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir","<p>This site is located a few kilometres south-west of Jerusalem, in the Central Highlands between Nablus and Hebron. The Battir hill landscape comprises a series of farmed valleys, known as <em>widian</em>, with characteristic stone terraces, some of which are irrigated for market garden production, while others are dry and planted with grapevines and olive trees. The development of terrace farming in such a mountainous region is supported by a network of irrigation channels fed by underground sources. A traditional system of distribution is then used to share the water collected through this network between families from the nearby village of Battir.</p>",,2014,,Y 2014,35.13055556,31.71972222,348.83,(iv)(v),Cultural,Palestine,Arab States,ps,pal,0
414,361,Historic Centre of Évora,"<p>This museum-city, whose roots go back to Roman times, reached its golden age in the 15th century, when it became the residence of the Portuguese kings. Its unique quality stems from the whitewashed houses decorated with <em>azulejos</em> and wrought-iron balconies dating from the 16th to the 18th century. Its monuments had a profound influence on Portuguese architecture in Brazil.</p>",,1986,,,-7.90778,38.57306,0,(ii)(iv),Cultural,Portugal,Europe and North America,pt,prt,0
1059,906,Dacian Fortresses of the Orastie Mountains,"<p>Built in the 1st centuries B.C. and A.D. under Dacian rule, these fortresses show an unusual fusion of military and religious architectural techniques and concepts from the classical world and the late European Iron Age. The six defensive works, the nucleus of the Dacian Kingdom, were conquered by the Romans at the beginning of the 2nd century A.D.; their extensive and well-preserved remains stand in spectacular natural surroundings and give a dramatic picture of a vigorous and innovative civilization.</p>","<p><em>Criterion (ii):</em> The Dacian fortresses represent the fusion of techniques and concepts of military architecture from inside and outside the classical world to create a unique style.</p>
<p><em>Criterion (iii):</em> The Geto-Dacian kingdoms of the late 1st millennium BC attained an exceptionally high cultural and socio-economic level, and this is symbolized by this group of fortresses.</p>
<p><em>Criterion (iv):</em> The hill-fort and its evolved successor, the oppidum, were characteristic of the Late Iron Age in Europe, and the Dacian fortresses are outstanding examples of this type of defended site.</p>",1999,,,23.31194444,45.62305556,0,(ii)(iii)(iv),Cultural,Romania,Europe and North America,ro,rou,0
1524,1293,Al-Hijr Archaeological Site (Madâin Sâlih),"<p>The Archaeological Site of Al-Hijr (Madâin Sâlih) is the first World Heritage property to be inscribed in Saudi Arabia. Formerly known as Hegra it is the largest conserved site of the civilization of the Nabataeans south of Petra in Jordan. It features well-preserved monumental tombs with decorated facades dating from the 1st century BC to the 1st century AD. The site also features some 50 inscriptions of the pre-Nabataean period and some cave drawings. Al-Hijr bears a unique testimony to Nabataean civilization. With its 111 monumental tombs, 94 of which are decorated, and water wells, the site is an outstanding example of the Nabataeans’ architectural accomplishment and hydraulic expertise.</p>",,2008,,,37.955,26.78361111,1621.2,(ii)(iii),Cultural,Saudi Arabia,Arab States,sa,sau,0
1430,1253,"Gamzigrad-Romuliana, Palace of Galerius","<p>The Late Roman fortified palace compound and memorial complex of Gamzigrad-Romuliana, Palace of Galerius, in the east of Serbia, was commissioned by Emperor Caius Valerius Galerius Maximianus, in the late 3rd and early 4th centuries. It was known as Felix Romuliana, named after the emperor&rsquo;s mother. The site consists of fortifications, the palace in the north-western part of the complex, basilicas, temples, hot baths, memorial complex, and a tetrapylon. The group of buildings is also unique in its intertwining of ceremonial and memorial functions.</p>",,2007,,,22.18611111,43.89930556,179.217,(iii)(iv),Cultural,Serbia,Europe and North America,rs,srb,0
2124,311,Old Town of Segovia and its Aqueduct,"<p>The Roman aqueduct of Segovia, probably built c. A.D. 50, is remarkably well preserved. This impressive construction, with its two tiers of arches, forms part of the setting of the magnificent historic city of Segovia. Other important monuments include the Alcázar, begun around the 11th century, and the 16th-century Gothic cathedral.</p>",,1985,,,-4.11675,40.94847222,134.28,(i)(iii)(iv),Cultural,Spain,Europe and North America,es,esp,0
435,379,Historic City of Toledo,"<p>Successively a Roman municipium, the capital of the Visigothic Kingdom, a fortress of the Emirate of Cordoba, an outpost of the Christian kingdoms fighting the Moors and, in the 16th century, the temporary seat of supreme power under Charles V, Toledo is the repository of more than 2,000 years of history. Its masterpieces are the product of heterogeneous civilizations in an environment where the existence of three major religions &ndash; Judaism, Christianity and Islam &ndash; was a major factor.</p>",,1986,,,-4.029416667,39.86688889,259.85,(i)(ii)(iii)(iv),Cultural,Spain,Europe and North America,es,esp,0
439,381,Old City of Salamanca,"<p>This ancient university town north-west of Madrid was first conquered by the Carthaginians in the 3rd century B.C. It then became a Roman settlement before being ruled by the Moors until the 11th century. The university, one of the oldest in Europe, reached its high point during Salamanca's golden age. The city's historic centre has important Romanesque, Gothic, Moorish, Renaissance and Baroque monuments. The Plaza Mayor, with its galleries and arcades, is particularly impressive.</p>",,1988,,,-5.6645,40.96525,50.78,(i)(ii)(iv),Cultural,Spain,Europe and North America,es,esp,0
2189,384,Old Town of Cáceres,"<p>The city's history of battles between Moors and Christians is reflected in its architecture, which is a blend of Roman, Islamic, Northern Gothic and Italian Renaissance styles. Of the 30 or so towers from the Muslim period, the Torre del Bujaco is the most famous.</p>",,1986,,,-6.37,39.47444,9,(iii)(iv),Cultural,Spain,Europe and North America,es,esp,0
785,664,Archaeological Ensemble of Mérida,"<p>The colony of Augusta Emerita, which became present-day M&eacute;rida in Estremadura, was founded in 25 B.C. at the end of the Spanish Campaign and was the capital of Lusitania. The well-preserved remains of the old city include, in particular, a large bridge over the Guadiana, an amphitheatre, a theatre, a vast circus and an exceptional water-supply system. It is an excellent example of a provincial Roman capital during the empire and in the years afterwards.</p>",,1993,,,-6.33778,38.91611,30.77,(iii)(iv),Cultural,Spain,Europe and North America,es,esp,0
949,803,Las Médulas,"<p>In the 1st century A.D. the Roman Imperial authorities began to exploit the gold deposits of this region in north-west Spain, using a technique based on hydraulic power. After two centuries of working the deposits, the Romans withdrew, leaving a devastated landscape. Since there was no subsequent industrial activity, the dramatic traces of this remarkable ancient technology are visible everywhere as sheer faces in the mountainsides and the vast areas of tailings, now used for agriculture.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (i), (ii), (iii) and (iv), considering that the Las M&eacute;dulas gold-mining area is an outstanding example of innovative Roman technology, in which all the elements of the ancient landscape, both industrial and domestic, have survived to an exceptional degree.</p>",1997,,,-6.77075,42.46939,0,(i)(ii)(iii)(iv),Cultural,Spain,Europe and North America,es,esp,0
1027,875,Archaeological Ensemble of Tárraco,"<p>Tárraco (modern-day Tarragona) was a major administrative and mercantile city in Roman Spain and the centre of the Imperial cult for all the Iberian provinces. It was endowed with many fine buildings, and parts of these have been revealed in a series of exceptional excavations. Although most of the remains are fragmentary, many preserved beneath more recent buildings, they present a vivid picture of the grandeur of this Roman provincial capital.</p>","<p><em>Criterion (ii):</em> The Roman remains of Tárraco are of exceptional importance in the development of Roman urban planning and design and served as the model for provincial capitals elsewhere in the Roman world.</p>
<p><em>Criterion (iii):</em> Tárraco provides eloquent and unparalleled testimony to a significant stage in the history of the Mediterranean lands in antiquity.</p>",2000,,,1.259305556,41.11472222,32.65,(ii)(iii),Cultural,Spain,Europe and North America,es,esp,0
1028,876,University and Historic Precinct of Alcalá de Henares,"<p>Founded by Cardinal Jiménez de Cisneros in the early 16th century, Alcalá de Henares was the world's first planned university city. It was the original model for the Civitas Dei (City of God), the ideal urban community which Spanish missionaries brought to the Americas. It also served as a model for universities in Europe and elsewhere.</p>","<p><em>Criterion (ii):</em> Alcalá de Henares was the first city to be designed and built solely as the seat of a university, and was to serve as the model for other centres of learning in Europe and the Americas.</p>
<p><em>Criterion (iv):</em> The concept of the ideal city, the City of God (Civitas Dei), was first given material expression in Alcalá de Henares, from where it was widely diffused throughout the world.</p>
<p><em>Criterion (vi):</em> The contribution of Alcalá de Henares to the intellectual development of humankind finds expression in its materialization of the Civitas Dei, in the advances in linguistics that took place there, not least in the definition of the Spanish language, and through the work of its great son, Miguel de Cervantes Saavedra and his masterpiece, Don Quixote.</p>",1998,,,-3.368055556,40.48138889,0,(ii)(iv)(vi),Cultural,Spain,Europe and North America,es,esp,0
1084,929,San Cristóbal de La Laguna,"<p>San Crist&oacute;bal de La Laguna, in the Canary Islands, has two nuclei: the original, unplanned Upper Town; and the Lower Town, the first ideal 'city-territory' laid out according to philosophical principles. Its wide streets and open spaces have a number of fine churches and public and private buildings dating from the 16th to the 18th century.</p>","<p><em>Criteria (ii) and (iv):</em> San Crist&oacute;bal de la Laguna was the first non-fortified Spanish colonial town, and its layout provided the model for many colonial towns in the Americas.</p>",1999,,,-16.31177778,28.47788889,60.38,(ii)(iv),Cultural,Spain,Europe and North America,es,esp,0
1151,987,Roman Walls of Lugo,<p>The walls of Lugo were built in the later part of the 3rd century to defend the Roman town of Lucus. The entire circuit survives intact and is the finest example of late Roman fortifications in western Europe.</p>,<p><em>Criterion (iv):</em> The Roman walls of Lugo are the finest surviving example of late Roman military fortifications.</p>,2000,,,-7.55333,43.01111,1.68,(iv),Cultural,Spain,Europe and North America,es,esp,0
1616,1312,Tower of Hercules,"<p>The Tower of Hercules has served as a lighthouse and landmark at the entrance of La Coru&ntilde;a harbour in north-western Spain since the late 1st century A.D. when the Romans built the Farum Brigantium. The Tower, built on a 57 metre high rock, rises a further 55 metres, of which 34 metres correspond to the Roman masonry and 21 meters to the restoration directed by architect Eustaquio Giannini in the 18<sup>th</sup> century, who augmented the Roman core with two octagonal forms. Immediately adjacent to the base of the Tower, is a small rectangular Roman building. The site also features a sculpture park, the Monte dos Bicos rock carvings from the Iron Age and a Muslim cemetery. The Roman foundations of the building were revealed in excavations conducted in the 1990s. Many legends from the Middle Ages to the 19th century surround the Tower of Hercules, which is unique as it is the only lighthouse of Greco-Roman antiquity to have retained a measure of structural integrity and functional continuity.</p>",,2009,,,-8.406388889,43.38583333,233,(iii),Cultural,Spain,Europe and North America,es,esp,0
1250,1073,Gebel Barkal and the Sites of the Napatan Region,"<p>These five archaeological sites, stretching over more than 60&nbsp;km in the Nile valley, are testimony to the Napatan (900 to 270&nbsp;BC) and Meroitic (270&nbsp;BC to 350&nbsp;AD) cultures, of the second kingdom of Kush. Tombs, with and without pyramids, temples, living complexes and palaces, are to be found on the site. Since Antiquity, the hill of Gebel Barkal has been strongly associated with religious traditions and folklore. The largest temples are still considered by the local people as sacred places.</p>","<p>Criteria i, ii, iii and iv: The pyramids and tombs, being also part of the special desert border landscape, on the banks of the Nile, are unique in their typology and technique. The remains are the testimony to an ancient important culture which existed and flourished in this region only. Criterion (vi): Since antiquity the hill of Gebel Barkal has been strongly associated with religious traditions and local folklore. For this reason, the largest temples (Amon Temple for example) were built at the foot of the hill and are still considered by the local people as sacred places.</p>",2003,,,31.81666667,18.53333333,182.5,(i)(ii)(iii)(iv)(vi),Cultural,Sudan,Arab States,sd,sdn,0
1760,1336,Archaeological Sites of the Island of Meroe,"<p>The Archaeological Sites of the Island of Meroe, a semi-desert landscape between the Nile and Atbara rivers, was the heartland of the Kingdom of Kush, a major power from the 8th century B.C. to the 4th century A.D. The property consists of the royal city of the Kushite kings at Meroe, near the River Nile, the nearby religious site of Naqa and Musawwarat es Sufra. It was the seat of the rulers who occupied Egypt for close to a century and features, among other vestiges, pyramids, temples and domestic buildings as well as major installations connected to water management. Their vast empire extended from the Mediterranean to the heart of Africa, and the property testifies to the exchange between the art, architectures, religions and languages of both regions.</p>",,2011,,,33.71666667,16.93333333,2357.36,(ii)(iii)(iv)(v),Cultural,Sudan,Arab States,sd,sdn,0
1862,20,Ancient City of Damascus,"<p>Founded in the 3rd millennium B.C., Damascus is one of the oldest cities in the Middle East. In the Middle Ages, it was the centre of a flourishing craft industry, specializing in swords and lace. The city has some 125 monuments from different periods of its history &ndash; one of the most spectacular is the 8th-century Great Mosque of the Umayyads, built on the site of an Assyrian sanctuary.</p>",,1979,,,36.30639,33.51139,86.12,(i)(ii)(iii)(iv)(vi),Cultural,Syrian Arab Republic,Arab States,sy,syr,0
24,21,Ancient City of Aleppo,"<p>Located at the crossroads of several trade routes from the 2nd millennium B.C., Aleppo was ruled successively by the Hittites, Assyrians, Arabs, Mongols, Mamelukes and Ottomans. The 13th-century citadel, 12th-century Great Mosque and various 17th-century madrasas, palaces, caravanserais and hammams all form part of the city's cohesive, unique urban fabric, now threatened by overpopulation.</p>",,1986,,,37.16667,36.23333,364,(iii)(iv),Cultural,Syrian Arab Republic,Arab States,sy,syr,0
